binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Guzmania lepidota,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Guzmania lepidota,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Guzmania poortmanii,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Guzmania poortmanii,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Guzmania striata,Ecuador,South America,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Guzmania striata,Ecuador,South America,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Gynura campanulata,Kenya,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Gynura campanulata,Kenya,Africa,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Gyrostipula obtusa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Gyrostipula obtusa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Gyrostipula obtusa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Habenaria lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Habenaria lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Energy Production & Mining,1
Habenaria petromedusa,Cabo Verde,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Heliotropium pannifolium,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Helmiopsis glaberrima,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Helmiopsis glaberrima,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Helmiopsis glaberrima,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Hernandia drakeana,French Polynesia,Oceania,Flowering Plant,1900-1919,Extinct,Unknown,1
Heterosamara bennae,Guinea,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Heterosamara bennae,Guinea,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Hibiscadelphus bombycinus,United States,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Hibiscadelphus crucibracteatus,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,1
Hibiscadelphus wilderianus,United States,North America,Flowering Plant,1900-1919,Extinct,Unknown,1
Hibiscadelphus woodii,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Hibiscadelphus woodii,United States,North America,Flowering Plant,1980-1999,Extinct,Human Intrusions,1
Hibiscadelphus woodii,United States,North America,Flowering Plant,1980-1999,Extinct,Geological Events,1
Hibiscus grandistipulatus,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Hibiscus grandistipulatus,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Hibiscus storckii,Fiji,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Hibiscus storckii,Fiji,Oceania,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Hopea shingkeng,India,Asia,Flowering Plant,NA,Extinct,Unknown,1
Hunteria hexaloba,Gabon,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Hunteria hexaloba,Gabon,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Hunteria hexaloba,Gabon,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Hunteria hexaloba,Gabon,Africa,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Hydrostachys perrieri,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Hydrostachys perrieri,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Hymenodictyon seyrigii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Hymenodictyon seyrigii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Hypericum gnidiifolium,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Hypericum gnidiifolium,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Ilex gardneriana,India,Asia,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Ilex gardneriana,India,Asia,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Ilex gardneriana,India,Asia,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Ilex ternatiflora,Cuba,North America,Flowering Plant,Before 1900,Extinct,Unknown,1
Impatiens boinensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Impatiens boinensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Climate Change,1
Impatiens boinensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Impatiens granulifera,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Impatiens granulifera,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Impatiens granulifera,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Impatiens saliensis,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Indigofera ankaratrensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Indigofera ankaratrensis,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Indigofera pobeguinii,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Indigofera pobeguinii,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Inversodicraea abbayesii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Inversodicraea abbayesii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Pollution,1
Inversodicraea abbayesii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Inversodicraea pygmaea,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Inversodicraea pygmaea,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Pollution,1
Inversodicraea pygmaea,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
